file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
Project/zeppelin/zeppelin-interpreter/src/main/java/org/apache/zeppelin/cluster/meta/ClusterMeta.java,org.apache.zeppelin.cluster.meta.ClusterMeta,class,3,5,2,3,19,1,0,8,0,0.8730158,1.0,1.0,3,0,3,0,0,0,3,0,0,0,21,19,18,3,0,0,19,0,0,97,6,0,2,0,0,22,0,28,0,26,2,0,0,0,50,1,4
Project/zeppelin/markdown/src/main/java/org/apache/zeppelin/markdown/UMLBlockQuoteParser.java,org.apache.zeppelin.markdown.UMLBlockQuoteParser$Factory,innerclass,4,4,0,4,4,1,0,0,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,18,9,0
Project/zeppelin/zeppelin-interpreter/src/main/java/org/apache/zeppelin/interpreter/thrift/RemoteInterpreterEventService.java,org.apache.zeppelin.interpreter.thrift.RemoteInterpreterEventService$updateAppOutput_result$updateAppOutput_resultTupleSchemeFactory,innerclass,2,2,0,2,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,0
Project/zeppelin/zeppelin-interpreter/src/main/java/org/apache/zeppelin/interpreter/thrift/RemoteInterpreterService.java,org.apache.zeppelin.interpreter.thrift.RemoteInterpreterService$shutdown_args$shutdown_argsStandardScheme,innerclass,3,3,0,3,4,1,0,9,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,25,0,1,1,0,0,0,0,1,0,1,2,0,0,0,18,10,0
Project/zeppelin/zeppelin-interpreter/src/main/java/org/apache/zeppelin/interpreter/remote/RemoteInterpreterServer.java,org.apache.zeppelin.interpreter.remote.RemoteInterpreterServer,class,54,60,6,54,138,4,0,215,326,0.90178555,0.3753754,0.7927928,44,1,31,7,6,0,37,0,0,0,28,3,1,26,0,1,3,0,32,979,52,11,37,23,0,67,17,130,9,109,6,6,5,3,265,1,42
Project/zeppelin/zeppelin-interpreter/src/main/java/org/apache/zeppelin/interpreter/thrift/RemoteInterpreterService.java,org.apache.zeppelin.interpreter.thrift.RemoteInterpreterService$AsyncClient$init_call,innerclass,3,3,0,3,4,1,0,9,1,0.33333334,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,22,1,0,1,0,0,2,1,4,0,4,1,0,0,0,18,9,0
Project/zeppelin/zeppelin-interpreter/src/main/java/org/apache/zeppelin/interpreter/thrift/RemoteInterpreterEventService.java,org.apache.zeppelin.interpreter.thrift.RemoteInterpreterEventService$sendParagraphInfo_result$sendParagraphInfo_resultTupleScheme,innerclass,4,4,0,4,5,1,0,8,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,4,5,0,4,1,0,0,0,15,10,0
Project/zeppelin/zeppelin-zengine/src/main/java/org/apache/zeppelin/notebook/AuthorizationService.java,org.apache.zeppelin.notebook.AuthorizationService,class,14,30,16,14,77,1,0,68,297,0.8047619,0.28817204,0.4516129,35,0,31,4,0,0,31,0,0,0,6,2,0,6,0,0,2,0,1,294,32,3,14,2,2,25,1,37,5,32,3,2,0,0,116,1,13
Project/zeppelin/livy/src/main/java/org/apache/zeppelin/livy/LivySparkRInterpreter.java,org.apache.zeppelin.livy.LivySparkRInterpreter,class,1,2,1,1,4,3,0,0,6,0.0,0.0,0.0,4,0,2,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,14,3,0,0,0,0,1,0,0,0,0,0,0,0,0,21,1,0
Project/zeppelin/zeppelin-interpreter/src/test/java/org/apache/zeppelin/helium/HeliumPackageTest.java,org.apache.zeppelin.helium.HeliumPackageTest,class,3,3,0,3,2,1,0,7,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,17,0,0,0,0,0,40,0,6,2,6,0,0,0,0,33,1,0
Project/zeppelin/flink/flink1.15-shims/src/main/java/org/apache/zeppelin/flink/shims115/CollectStreamTableSink.java,org.apache.zeppelin.flink.shims115.CollectStreamTableSink,class,11,13,2,11,7,1,0,9,5,0.61904764,0.3809524,0.71428573,7,0,7,0,0,0,7,0,0,0,6,1,0,6,0,0,4,0,1,35,6,0,0,0,0,3,1,7,2,7,0,0,0,0,36,1,1
Project/zeppelin/livy/src/main/java/org/apache/zeppelin/livy/LivyPySparkInterpreter.java,org.apache.zeppelin.livy.LivyPySparkInterpreter,class,1,2,1,1,2,4,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,11,1,0
Project/zeppelin/zeppelin-interpreter/src/main/java/org/apache/zeppelin/cluster/protocol/RaftClientMessagingProtocol.java,org.apache.zeppelin.cluster.protocol.RaftClientMessagingProtocol,class,23,24,1,23,13,2,0,11,66,0.0,0.0,0.0,12,0,12,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,3,43,6,1,0,0,0,11,0,0,0,2,1,0,0,1,48,1,0
Project/zeppelin/zeppelin-zengine/src/test/java/org/apache/zeppelin/notebook/NotebookTest.java,org.apache.zeppelin.notebook.NotebookTest$StatusChangedListener,interface,2,2,0,2,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0
Project/zeppelin/markdown/src/test/java/org/apache/zeppelin/markdown/FlexmarkParserTest.java,org.apache.zeppelin.markdown.FlexmarkParserTest,class,10,11,1,10,16,1,0,20,0,0.6388889,0.8484849,1.0,12,0,12,0,0,0,12,0,0,0,3,1,1,1,0,1,1,0,14,104,0,2,0,1,0,64,21,34,3,34,2,1,0,0,123,1,2
